index,Data,Arquivo,Origem,Destino,Num_viagens,Tempo com chuva (min),Nós com chuva,Tempo ponderado com chuva (min)
11,15/01/2013,h_1242000.tif,64348,1545,594.1999335545357,625.7612220000004,1403,371827.2765334053
11,15/01/2013,h_1242000.tif,64348,2548,1787.1415980776978,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,110651,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,12440,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,76682,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,100654,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,85975,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,13735,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,93863,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,28900,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,30047,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,94707,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,100907,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,111928,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,69371,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,63277,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,75323,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,66851,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,67368,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,61825,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,109343,0.0,705.333618599988,1602,1260531.0503227077
11,15/01/2013,h_1242000.tif,64348,88083,1395.3288362597414,429.5137976999997,934,599312.9875022427
11,15/01/2013,h_1242000.tif,64348,109234,0.0,429.5137976999997,934,599312.9875022427
11,15/01/2013,h_1242000.tif,64348,5692,0.0,429.5137976999997,934,599312.9875022427
11,15/01/2013,h_1242000.tif,64348,25887,0.0,429.5137976999997,934,599312.9875022427
11,15/01/2013,h_1242000.tif,64348,21124,0.0,429.5137976999997,934,599312.9875022427
11,15/01/2013,h_1242000.tif,64348,92375,0.0,429.5137976999997,934,599312.9875022427
11,15/01/2013,h_1242000.tif,64348,10845,5345.887537402512,472.6241838000031,973,2526595.7340514706
11,15/01/2013,h_1242000.tif,64348,60630,1800.4046202875154,500.5640952000019,749,901217.9097481231
11,15/01/2013,h_1242000.tif,64348,93673,0.0,500.5640952000019,749,901217.9097481231
11,15/01/2013,h_1242000.tif,64348,70823,1492.5905042662614,287.0613470999995,388,428465.04082334053
11,15/01/2013,h_1242000.tif,64348,73976,1201.585166025221,141.5941781999996,260,170137.46412065125
11,15/01/2013,h_1242000.tif,64348,64037,1191.916437229943,128.1956049000001,225,152798.44866094552
11,15/01/2013,h_1242000.tif,64348,25051,600.2364692892972,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,73054,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,7827,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,82717,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,62269,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,82934,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,83513,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,80947,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,81264,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,80499,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,79864,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,67601,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,78456,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,60992,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,99358,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,23115,0.0,293.46506099999795,503,176148.432074407
11,15/01/2013,h_1242000.tif,64348,37563,343.41881143421654,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,28043,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,36547,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,46649,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,39248,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,23372,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,40741,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,38028,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,17036,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,24772,0.0,716.0396507999995,1597,245901.48581750732
11,15/01/2013,h_1242000.tif,64348,8143,216.52654487957938,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,64348,60158,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,77307,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,99226,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,93519,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,1545,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,2548,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,110651,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,12440,0.0,538.8588923999974,857,116677.2541490085
