index,Origem,Destino,Num_viagens,Tempo de viagem (min),Número de nós,Percurso entre nós,Tempo ponderado sem chuva (min)
33,458457689,7285084235,546.88,9.60,38,"[458457689, 2533503959, 458457643, 138093377, 458457594, 1424266119, 1760047147, 2394631677, 2394594065, 6093463311, 7950750943, 1424266169, 1759561606, 174015243, 1424266141, 138089214, 130010023, 667546165, 667546181, 138089210, 8770430628, 667546220, 663895261, 2410477724, 2524219443, 663895275, 663895285, 663895303, 2407415189, 7474377567, 2407415170, 433729936, 6940137848, 2356792800, 3746296702, 3746296706, 2356795783, 7285084235]",5250.32
34,458457689,8660065212,469.03,3.71,21,"[458457689, 2533503959, 458457643, 138093377, 458457594, 1424266119, 1760047147, 2394631677, 2394594065, 6093463311, 7950750943, 1424266169, 1759561606, 174015243, 1424266141, 138089214, 130010023, 667546165, 667546181, 8660065216, 8660065212]",1738.21
35,458457689,1678678859,247.32,14.30,73,"[458457689, 2533503959, 458457643, 138093377, 458457594, 1424266119, 1760047147, 2394631677, 2394594065, 6093463311, 7950750943, 1424266169, 1759561606, 174015243, 1424266141, 138089214, 130010023, 667546165, 667546181, 138089210, 8770430628, 667546220, 663895261, 2410477724, 2524219443, 663895268, 5339390529, 663895200, 2407436824, 2407436964, 2407436965, 2407436962, 663895237, 2410456818, 663895222, 663895218, 2407436668, 2407436682, 2407436676, 663895204, 138100968, 663895205, 356234106, 1079949685, 663895454, 1080109308, 6936069477, 356233965, 438679779, 438679898, 2376451515, 1266042863, 155393945, 1984335302, 8772931467, 2477132062, 155398643, 1836988045, 173917846, 173917847, 173917858, 1678467683, 1664079266, 1678467680, 1649595152, 8769966262, 5337763141, 5337763160, 1649595154, 1678467305, 5337768229, 1649588845, 1678678859]",3537.38
36,458457689,4560347947,561.69,4.21,20,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094112, 2461787307, 1925380346, 470094088, 138110113, 5885883982, 8743049027, 470091190, 470096027, 4560347947]",2367.41
37,458457689,567547219,758.46,9.36,36,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094112, 2461787307, 1925380346, 470094088, 138110113, 5885883982, 8743049021, 470096038, 7208896369, 7208896371, 2393008625, 1041132950, 1041041228, 1041133158, 8792811076, 8792736907, 1041041046, 1041041311, 1038790352, 1038790363, 1038793934, 2453057240, 1065518445, 1065620472, 1065620477, 567547219]",7096.44
38,458457689,1038793906,266.88,6.48,31,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094112, 2461787307, 1925380346, 470094088, 138110113, 5885883982, 8743049021, 470096038, 1420412751, 8743049025, 1265860770, 1265860708, 3158768004, 1265860790, 2378322806, 1038746271, 1038746239, 1041403974, 4178134139, 1038746305, 1038793906]",1729.78
39,458457689,1049140465,699.96,7.21,31,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094099, 340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 356234130, 1079203233, 340185218, 492207416, 688021913, 688021915, 1095134363, 667546014, 923645194, 1049140465]",5045.64
40,129958225,340185206,520.90,8.23,33,"[129958225, 173888107, 173901812, 6958790718, 138036422, 667546241, 667546232, 8660065212, 667546165, 130010023, 2394594087, 2532610347, 130010024, 1424266121, 4570311085, 174015243, 4570311024, 458457799, 458457803, 458457807, 458457808, 855306835, 855306629, 855306603, 855306697, 1759750087, 340185209, 1759958160, 340185200, 470094120, 333737036, 470094099, 340185206]",4284.59
41,129958225,4499663530,2214.57,6.75,30,"[129958225, 129959067, 129959069, 4995000473, 135611215, 130009968, 2523494627, 2523494616, 129960793, 2384739372, 7959240889, 2384739327, 2384739335, 135615276, 462003860, 462003859, 2384780868, 462001995, 155423719, 462001999, 1424266173, 155423722, 155423723, 138110075, 1420176532, 445062727, 155425830, 334383136, 334383138, 4499663530]",14944.53
42,129958225,130009969,2156.69,2.37,7,"[129958225, 129959067, 129959069, 4995000473, 135611215, 130009968, 130009969]",5111.08
43,129958225,8773249082,1371.73,6.12,26,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 173947235, 173963331, 173889242, 2061326901, 173942551, 7949876303, 180588150, 130112045, 2108104636, 180588077, 8790492631, 8790492630, 8790492618, 8790492617, 8790482695, 8790482698, 4489631712, 8773249082]",8392.75
44,129958225,433999406,1136.28,3.67,17,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 173947235, 173963331, 173889242, 2061326901, 173942551, 7949876303, 180588150, 130112045, 433999406]",4167.67
45,129958225,2106532284,142.52,6.55,31,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 173947235, 173963331, 173889242, 2061326901, 173942551, 7949876303, 180588150, 130112045, 2108104632, 138115180, 3473791742, 2106532311, 138115182, 138116629, 10599212582, 1706349090, 5338815373, 1706413619, 2357354491, 2456171451, 1664231948, 1706344385, 2106532284]",932.92
46,129958225,242661092,7.19,11.44,36,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 135571292, 2407119155, 135571294, 135571295, 2061326895, 2413913540, 1706350616, 552894294, 552893618, 2343342281, 1678609571, 656454332, 5328050322, 155333830, 1678609448, 2426811100, 1664200588, 4169888793, 1678549599, 9465917983, 6943990287, 2063568328, 2449984048, 5758906206, 5337860847, 242661086, 242661087, 242661092]",82.30
47,129958225,3905134105,200.58,18.31,63,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 135571292, 2407119155, 135571294, 135571295, 2061326895, 2413913540, 1706350616, 552894294, 552893618, 2343342281, 1678609571, 656454332, 5328050322, 155333830, 1678609448, 2426811100, 1664200588, 4169888793, 1678549599, 9465917983, 6943990287, 2063568328, 2449984048, 5758906206, 1678714311, 2449984062, 1678714317, 155333867, 2465949922, 2465949926, 4169888801, 5337805266, 2880969808, 2880986583, 2880976432, 2880969824, 2880969825, 2880978381, 1676035230, 1676059082, 2323729196, 1679709440, 1679664575, 3196419462, 2888331869, 1990125500, 1679664501, 1679709402, 1677562166, 739470027, 3781738188, 6981923160, 6981923170, 6981923167, 3905134105]",3671.72
48,129958225,1677283353,127.48,17.18,47,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 135571292, 2407119155, 135571294, 135571295, 2061326895, 2413913540, 1706350616, 552894294, 552893618, 2343342281, 1678609571, 656454332, 5328050322, 155333830, 1678609448, 2426811100, 1664200588, 4169888793, 1678549599, 9465917983, 6943990287, 2063568328, 2449984048, 5758906206, 1678714311, 2449984062, 1678714317, 155333867, 5345698358, 5345698356, 1676202347, 1676202377, 4900110794, 1676202342, 1677247775, 5345831151, 7284644831, 1677246024, 1677283353]",2189.74
49,129958225,3830604147,443.76,22.94,69,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 135571292, 2407119155, 135571294, 135571295, 2061326895, 2413913540, 1706350616, 552894294, 552893618, 2343342281, 1678609571, 656454332, 5328050322, 155333830, 1678609448, 2426811100, 1664200588, 4169888793, 1678549599, 9465917983, 6943990287, 2063568328, 2449984048, 5758906206, 1678714311, 2449984062, 1678714317, 155333867, 2465949922, 2465949926, 4169888801, 5337805266, 2880969808, 2880986583, 2880976432, 2880969824, 2880969825, 2880978381, 1676035230, 1676059082, 2323729196, 1679709440, 1679664575, 3196419462, 2888331869, 1990125500, 1679664501, 1679709402, 1679709389, 1679709379, 1700255441, 1700255434, 1700254193, 5878701419, 1700254785, 3830604154, 1665844629, 4502397814, 1665844646, 1665850048, 3830604147]",10181.53
50,129958225,7285084235,3739.46,5.38,15,"[129958225, 173888107, 4285960839, 173964808, 2357332875, 7301922134, 173889247, 173889249, 433729799, 173967744, 1266042945, 2356792829, 2356792814, 2356795806, 7285084235]",20110.30
51,129958225,8660065212,1827.59,3.44,8,"[129958225, 173888107, 173901812, 6958790718, 138036422, 667546241, 667546232, 8660065212]",6279.89
52,129958225,138100960,675.53,6.13,29,"[129958225, 173888107, 173901812, 6958790718, 138036422, 667546241, 667546221, 8770430628, 667546220, 663895261, 2410477724, 2524219443, 663895268, 5339390529, 663895200, 2407436824, 2407436964, 2407436965, 2407436962, 663895237, 2410456818, 663895222, 663895218, 2407436668, 2407436682, 2407436676, 663895204, 138100968, 138100960]",4143.50
53,129958225,8493071757,730.70,7.51,24,"[129958225, 173888107, 4285960839, 173964808, 2357332875, 7301922134, 173889247, 173889249, 433729799, 173967744, 1266042945, 2356792829, 438679847, 438679739, 10671569919, 438679770, 438679775, 438679779, 663863895, 6925740688, 438679937, 438679962, 438679246, 8493071757]",5485.82
54,129958225,155371196,628.05,5.21,24,"[129958225, 173888107, 4285960839, 173964808, 2357332876, 173888102, 173950299, 173952909, 2477151304, 173952293, 173952696, 173954554, 135596982, 173955538, 2477092979, 155403805, 2450912577, 155399651, 2477095786, 2477095823, 155403116, 155403115, 2477131996, 155371196]",3274.08
55,129958225,173912077,467.08,6.56,29,"[129958225, 173888107, 4285960839, 173964808, 2357332876, 173888102, 173950299, 173952909, 2477151304, 173952293, 2477151911, 462046826, 2407351919, 173952295, 173955964, 155403118, 2407231736, 173909553, 155402556, 1079950239, 2492723688, 2363551370, 2363551372, 1664200682, 6928860086, 9501602407, 9501602404, 1664200651, 173912077]",3063.34
56,129958225,5337689323,336.21,8.97,28,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 135571292, 2407119155, 135571294, 135571295, 2061326895, 2413913540, 1706350616, 552894294, 552893618, 2343342281, 1678609571, 656454332, 5328050322, 155333830, 1678609448, 2426811100, 1664070073, 1664072310, 4497560388, 5337689323]",3015.53
57,129958225,1678678859,871.94,11.05,44,"[129958225, 173888107, 4285960839, 173964808, 2357332876, 173888102, 173950299, 173952909, 2477151304, 173952293, 2477151911, 462046826, 2407351919, 173952295, 173955964, 155403118, 2407231736, 173909553, 155402556, 1079950239, 155399660, 1266042951, 155399663, 2476930122, 2477104854, 1734769986, 2477132062, 155398643, 1836988045, 173917846, 173917847, 173917858, 1678467683, 1664079266, 1678467680, 1649595152, 8769966262, 5337763141, 5337763160, 1649595154, 1678467305, 5337768229, 1649588845, 1678678859]",9634.22
58,129958225,1664115915,594.20,10.87,37,"[129958225, 173888107, 4285960839, 173964808, 2357332876, 173888102, 173950299, 173952909, 2477151304, 173952293, 2477151911, 462046826, 2407351919, 173952295, 173955964, 155403118, 2407231736, 173909553, 155402556, 1079950239, 155399660, 1266042951, 155399663, 2476930122, 2477104854, 1734769986, 2477132062, 155398643, 1836988045, 173917846, 173917847, 173917858, 6943211214, 5282655214, 1664111477, 3056110336, 1664115915]",6460.98
59,129958225,1664086406,72.05,12.30,45,"[129958225, 173888107, 4285960839, 173964808, 2357332876, 173888102, 173950299, 173952909, 2477151304, 173952293, 2477151911, 462046826, 2407351919, 173952295, 173955964, 155403118, 2407231736, 173909553, 155402556, 1079950239, 155399660, 1266042951, 155399663, 2476930122, 2477104854, 1734769986, 2477132062, 155398643, 1836988045, 173917846, 173917847, 173917858, 6943211214, 5282655218, 1664079364, 2363607689, 2363607695, 3407178774, 8993303729, 2363607709, 8765420329, 7848300237, 8328973130, 7959927461, 1664086406]",886.29
