indexador,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31
104400,8.648,9.963999999999999,0.0,1.88,1.88,122.297,115.24600000000001,0.0,0.0,0.0,0.0,122.265,0.376,114.67,0.5640000000000001,122.839,0.376,117.049,0.0,113.796,0.0,3.008,0.0,121.19800000000001,0.0,0.0,115.488,3.008,8.648,0.0
108000,0.376,7.896,0.0,1.316,3.5719999999999996,122.00399999999999,115.87,0.0,0.0,0.0,0.0,121.459,1.88,115.286,3.1959999999999997,121.69200000000001,0.752,117.783,0.0,112.728,0.0,1.692,0.0,115.739,0.0,0.0,113.514,0.376,7.332,0.0
111600,2.6319999999999997,3.572,0.0,1.1280000000000001,1.3159999999999998,119.395,112.134,0.188,0.0,0.0,0.0,120.059,2.0679999999999996,112.768,2.068,120.402,0.188,115.73,0.0,107.672,0.0,2.6319999999999997,1.88,111.23700000000001,0.0,0.0,111.007,0.752,6.58,0.0
115200,2.256,1.504,0.0,1.88,1.128,118.821,112.124,0.0,0.0,0.0,0.0,118.78,0.0,111.751,1.128,119.26599999999999,0.0,115.417,0.0,106.343,0.0,1.88,6.58,110.27,0.0,0.0,111.339,0.0,0.752,0.0
118800,0.0,4.324,0.0,2.6319999999999997,1.504,121.137,114.431,0.564,0.0,0.0,0.0,123.545,0.0,118.972,4.324,123.334,0.188,118.771,0.0,110.321,0.0,3.1959999999999997,6.58,119.607,0.0,0.0,114.631,0.0,4.324,0.0
122400,4.699999999999999,5.076,0.0,8.459999999999999,16.544,134.281,125.86,0.188,2.068,2.444,0.376,133.335,0.0,130.262,0.752,139.881,0.5640000000000001,132.489,0.0,122.407,1.88,10.904,10.716,144.936,2.256,0.0,131.501,0.0,7.144,0.0
126000,6.016,6.204,0.0,9.212,18.988,147.969,142.953,4.324,0.564,2.256,7.332,145.832,0.0,139.96,1.128,149.367,0.94,142.66,0.0,141.382,5.076,12.032,11.28,157.244,6.3919999999999995,1.88,147.755,0.0,6.016,0.0
129600,11.091999999999999,10.528,1.692,13.724,19.364,155.603,155.189,3.76,6.58,6.58,7.52,157.021,2.632,148.461,3.948,158.553,6.58,152.741,6.3919999999999995,151.826,6.9559999999999995,16.732,12.783999999999999,168.796,7.708,3.1959999999999997,160.305,16.732,10.34,0.0
133200,16.732,5.076,7.52,15.416,18.8,163.739,161.263,8.271999999999998,8.836,8.46,9.024,166.731,3.008,159.942,3.572,169.099,8.46,165.24099999999999,7.52,160.234,4.136,27.636,11.280000000000001,170.538,4.512,5.076,165.543,12.596,7.708,0.0
136800,11.468,9.212,0.0,8.835999999999999,17.86,169.731,169.078,9.212,12.972,8.084,8.084,170.76,2.068,166.469,8.084,176.914,6.58,168.594,4.512,163.507,8.836,20.68,13.911999999999999,178.393,5.264,4.7,171.031,19.552,16.356,0.0
140400,14.475999999999999,7.708,0.0,12.596,15.04,170.781,172.34,4.324,11.091999999999999,9.588,10.528,177.315,2.256,170.881,3.008,181.96,6.204,176.279,0.0,166.469,6.768,21.244,18.8,182.89600000000002,8.084,11.28,172.504,27.823999999999998,9.964,0.0
144000,13.536,6.58,0.0,8.836,13.347999999999999,173.882,177.749,12.972,14.100000000000001,15.228,5.828,183.138,5.452,172.775,8.648,184.89,11.844,180.66,0.0,173.177,6.204000000000001,23.876,15.792,186.632,7.896,6.768,177.458,15.040000000000001,11.844,0.0
147600,14.475999999999999,10.528,12.408,10.152000000000001,10.152,171.272,163.812,11.091999999999999,19.176000000000002,10.527999999999999,5.452,183.803,5.264,171.586,7.895999999999999,174.30599999999998,12.972,185.86599999999999,0.0,177.971,6.016,27.26,8.272,190.661,6.9559999999999995,5.076,178.475,27.448,7.52,0.0
151200,15.98,9.588,9.588,9.964,16.732,150.899,147.777,10.716,12.032,5.452,5.076,156.518,4.5120000000000005,135.219,5.264,133.596,9.588,136.385,11.844,157.61599999999999,7.707999999999999,17.296,5.827999999999999,183.672,10.716,3.384,157.113,30.268,4.888,0.0
154800,7.708,12.032,0.0,10.904,18.8,154.123,153.567,6.9559999999999995,15.98,8.459999999999999,3.008,153.316,4.7,143.273,9.964,143.13400000000001,7.896,132.306,7.708,164.486,6.768,10.34,16.544,177.305,7.52,1.88,155.652,21.432000000000002,7.332,0.0
158400,8.272,15.04,0.0,6.768,7.708,151.825,150.999,1.692,0.564,5.263999999999999,1.88,146.638,2.256,144.142,6.768,151.02,8.836,145.74099999999999,5.64,148.15,5.076,15.792,7.332,165.855,3.76,3.384,149.448,12.219999999999999,2.6319999999999997,0.0
162000,3.948,6.768,0.0,6.9559999999999995,5.076,147.043,141.915,3.008,2.444,1.88,0.0,149.368,0.188,139.538,2.6319999999999997,143.97899999999998,1.504,141.572,5.264,142.379,2.632,6.016,1.88,153.81900000000002,3.572,2.632,143.627,10.904,0.564,0.0
165600,3.572,10.716,0.0,10.528,1.88,144.423,139.82,2.82,0.0,0.376,0.0,144.564,1.128,135.691,4.136,142.025,0.0,133.767,0.0,141.501,2.256,6.9559999999999995,6.768,150.667,2.0679999999999996,0.0,137.212,9.588,0.188,0.0
