Data evento,Horário Inicial,Horário Final,Data_Simul_Ini,Data_Simul_Fim,Simulação Início,Simulação Final,Tipo,datetime_inicio,datetime_fim,horas_simuladas,Pacote,Index Início,Index Final
2023-01-26,00:00:00,23:59:59,2023-01-26,2023-01-26,00:00:00,23:59:59,Inteiro,2023-01-26 00:00:00,2023-01-26 23:59:59,24.0,50,2160000,2246400
2023-01-28,16:12:00,19:16:00,2023-01-28,2023-01-28,14:12:00,21:16:00,Detalhado,2023-01-28 14:12:00,2023-01-28 21:16:00,7.0,51,2383200,2412000
2023-01-29,15:33:00,21:37:00,2023-01-29,2023-01-29,13:33:00,23:37:00,Detalhado,2023-01-29 13:33:00,2023-01-29 23:37:00,10.0,52,2466000,2505600
2023-01-30,00:00:00,23:59:59,2023-01-30,2023-01-30,00:00:00,23:59:59,Inteiro,2023-01-30 00:00:00,2023-01-30 23:59:59,24.0,53,2505600,2592000
2023-01-31,16:59:00,23:05:00,2023-01-31,2023-02-01,14:59:00,01:05:00,Detalhado,2023-01-31 14:59:00,2023-02-01 01:05:00,10.0,54,2642400,2685600
2023-03-11,16:16:00,20:00:00,2023-03-11,2023-03-11,14:16:00,22:00:00,Detalhado,2023-03-11 14:16:00,2023-03-11 22:00:00,8.0,55,6012000,6040800
2023-03-12,14:11:00,18:23:00,2023-03-12,2023-03-12,12:11:00,20:23:00,Detalhado,2023-03-12 12:11:00,2023-03-12 20:23:00,8.0,56,6091200,6123600
2023-03-13,05:59:00,21:06:00,2023-03-13,2023-03-13,03:59:00,23:06:00,Detalhado,2023-03-13 03:59:00,2023-03-13 23:06:00,19.0,57,6145200,6220800
2023-03-14,05:06:00,18:52:00,2023-03-14,2023-03-14,03:06:00,20:52:00,Detalhado,2023-03-14 03:06:00,2023-03-14 20:52:00,18.0,58,6231600,6296400
2023-03-15,00:00:00,23:59:59,2023-03-15,2023-03-15,00:00:00,23:59:59,Inteiro,2023-03-15 00:00:00,2023-03-15 23:59:59,24.0,59,6307200,6393600
2023-03-16,00:00:00,23:59:59,2023-03-16,2023-03-16,00:00:00,23:59:59,Inteiro,2023-03-16 00:00:00,2023-03-16 23:59:59,24.0,60,6393600,6480000
2023-03-17,00:00:00,23:59:59,2023-03-17,2023-03-17,00:00:00,23:59:59,Inteiro,2023-03-17 00:00:00,2023-03-17 23:59:59,24.0,61,6480000,6566400
2023-03-20,17:35:00,18:14:00,2023-03-20,2023-03-20,15:35:00,20:14:00,Detalhado,2023-03-20 15:35:00,2023-03-20 20:14:00,5.0,62,6793200,6814800
2023-03-27,02:15:00,02:38:00,2023-03-27,2023-03-27,00:15:00,04:38:00,Detalhado,2023-03-27 00:15:00,2023-03-27 04:38:00,4.0,63,7344000,7362000
2023-03-28,00:00:00,23:59:59,2023-03-28,2023-03-28,00:00:00,23:59:59,Inteiro,2023-03-28 00:00:00,2023-03-28 23:59:59,24.0,64,7430400,7516800
2023-03-30,00:00:00,23:59:59,2023-03-30,2023-03-30,00:00:00,23:59:59,Inteiro,2023-03-30 00:00:00,2023-03-30 23:59:59,24.0,65,7603200,7689600
2023-03-31,13:52:00,15:48:00,2023-03-31,2023-03-31,11:52:00,17:48:00,Detalhado,2023-03-31 11:52:00,2023-03-31 17:48:00,6.0,66,7729200,7754400
