Data,Arquivo,Hora do dia,Tempo médio ponderado com chuva (min),Status de processamento,Width,Height,Bandas,CRS,Estatística Descritiva,Média,Mediana,Desvio Padrão,Valor Mínimo (m),Valor Máximo (m),Percentil 25,Percentil 50,Percentil 75
15/10/2013,h_24854400.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24811200.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24825600.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24876000.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24840000.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24807600.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25549200.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25563600.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25545600.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25538400.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25524000.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25552800.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25502400.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25567200.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25506000.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25570800.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25520400.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25488000.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25498800.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25491600.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25516800.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25560000.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25556400.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25527600.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25513200.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25495200.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25534800.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25542000.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25531200.tif,,,,,,,,,,,,,,,,
23/10/2013,h_25509600.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24912000.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24926400.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24940800.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24955200.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24890400.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24951600.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24908400.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24930000.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24958800.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24894000.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24901200.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24937200.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24883200.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24922800.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24944400.tif,,,,,,,,,,,,,,,,
