,Unnamed: 0,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
777,777,2023-10-31,1,Butantã,Inativo Transitável,11:39:00,12:03:00,AV MAGALHAES DE CASTRO, CASTELO/INTERLAGOS, R PEDRO AVANCINE
778,778,2023-10-31,1,Pinheiros,Inativo Transitável,11:35:00,12:10:00,R CANADA, BAIRRO/CENTRO, PC. DAS GUIANAS
779,779,2023-10-31,1,Pinheiros,Inativo Transitável,11:36:00,14:35:00,R BASTOS PEREIRA, BAIRRO/CENTRO, AV STO AMARO
780,780,2023-10-31,1,Pinheiros,Inativo Transitável,16:05:00,16:20:00,R ROUXINOL, CENTRO/BAIRRO, R. GAIVOTA
781,781,2023-10-31,1,Itaquera,Inativo Transitável,17:23:00,23:07:00,AV DAVID DOMINGUES FERREIRA, UNICO, R GERALDO VIEIRA DE CASTRO
782,782,2023-10-31,1,Itaquera,Inativo Transitável,20:10:00,21:07:00,CV ARIETA CALFAT KHOURY FARAH, CENTRO/BAIRRO, AV JEAN KHOURY FARAH
783,783,2023-10-31,1,Mooca,Inativo Transitável,16:15:00,16:30:00,PTE DO TATUAPE, SAÍDA P/ROD PRESD. DUTRA, R. CEL. GUILHERME ROCHA
784,784,2023-10-31,1,Santo Amaro,Inativo Transitável,16:10:00,16:22:00,R VISCONDE DE CASTRO, UNICO, R. ALBERTO GEBARA
785,785,2023-10-31,1,Vila Mariana,Inativo Intransitável,11:53:00,11:58:00,AV VINTE E TRES DE MAIO, AMBOS, VD GAL EUCLIDES DE FIGUEIREDO
786,786,2023-10-31,1,Vila Mariana,Inativo Intransitável,12:00:00,12:32:00,AV IBIRAPUERA, NAO INFORMADO, AV LAVANDISCA
787,787,2023-11-03,1,Butantã,Inativo Intransitável,16:57:00,16:59:00,TV IRMA DOLORES BALDI, BAIRRO/CENTRO, R DR CARVALHO ARANHA
788,788,2023-11-03,1,Pinheiros,Inativo Transitável,16:37:00,20:37:00,a 20:37AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R OLIVIA FEDER
789,789,2023-11-03,1,Aricanduva/ Vila Formosa,Inativo Intransitável,16:44:00,18:08:00,AV REG FEIJO, BAIRRO/CENTRO, AV DR EDUARDO COTCHING
790,790,2023-11-03,1,Mooca,Inativo Transitável,17:00:00,17:55:00,R BRESSER, BAIRRO/CENTRO, PC CIRO PONTES
791,791,2023-11-03,1,Santo Amaro,Inativo Intransitável,16:45:00,18:04:00,AV STO AMARO, AMBOS, AV ROQUE PETRONI JUNIOR
792,792,2023-11-15,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,19:36:00,21:08:00,AV LUIZ DUMONT VILLARES, CENTRO/BAIRRO, PC ORLANDO SILVA
793,793,2023-11-15,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,19:47:00,20:24:00,R CHICO PONTES, AMBOS, AV GUILHERME
794,794,2023-11-15,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,20:02:00,20:30:00,AV EDU CHAVES, AMBOS, AV ROLAND GARROS
795,795,2023-11-15,1,Santana,Inativo Transitável,19:30:00,03:46:00,AV DO ESTADO, IPIRANGA/SANTANA, LG DO PARI
